timestamp_utc,puuid,tier,queue,old_lp,new_lp,lp_delta
2026-07-12T02:16:33,E2Cvh76QulydmXTYBmDH3kpgVDYujOhHFOoYQqmfM2IQFmoxwrOMGL27XLV4_yK23fj0xrwHI26Gog,master,RANKED_SOLO_5x5,283,313,30
2026-07-12T02:16:33,M9QgIUvQVovt1Lp0i-C8AlGwJ-7_QiaVQjAreQXqX-m4_o4nnr0xRX3ohhIT3bw55pu6rhgHJ9wpLQ,master,RANKED_SOLO_5x5,225,285,60
2026-07-12T02:16:33,WDXCM15ASqnYW4omNqWwbwNM4MfLpTuBPdMi28vG7JGAz-eqjO1IGGEydo3yUGSegK8FMW9YHF5REg,master,RANKED_SOLO_5x5,242,272,30
2026-07-12T02:16:33,z_U7JOMHqOlxmMwT_G__AHtJIFRrgxstBSJkpyia-a-FnCRNcegq_TkgkjpAQwDIUTlLXqQKlePVLg,master,RANKED_SOLO_5x5,300,270,-30
2026-07-12T02:16:33,BFwYVMAaRen3CgZl_IQEuri9YnOmTdNGOPapIxEyaCvGHmtR2jI87HQbxxANqrMiZjf7HKkwRhDygg,master,RANKED_SOLO_5x5,288,257,-31
2026-07-12T02:16:33,lQk2rnWM03FNU_PQma32wT56hs-9AWLGtCbmxss2t9fkDTMG9EzFXexbYPTy2ofLUlYochyyH8fS3g,master,RANKED_SOLO_5x5,225,254,29
2026-07-12T02:16:33,SKILMFw1IMnO92PCZ5xgcsJTa_ctQvyYw6omAgBNagoKqLU0gPK3cI3hWlKpLCYXxZCIdXq3J6n9SA,master,RANKED_SOLO_5x5,208,237,29
2026-07-12T02:16:33,-usEEpF2ahBveuG6MBqwd0twM84Zd6mr-U0Lal0f_N0saQZ18Fvh2cZPfMyxonJ_igtp2vEQCB7GRw,master,RANKED_SOLO_5x5,199,229,30
2026-07-12T02:16:33,VKDjk7EWFelNS48NGqx47XGTxpNQImiyk7RLblE-UHPxLKcCIlkZXxf56bx2tJJifWrEoWmvkxT6bg,master,RANKED_SOLO_5x5,195,226,31
2026-07-12T02:16:33,cachKnBWIcOPZq3UqPTpu6NB8xjjaN9gPIh9QhuPjqUOIaBw57vgv3VA3_OlKeJeJjhxeKwM1zDjeA,master,RANKED_SOLO_5x5,180,210,30
2026-07-12T02:16:33,zrI5Vkl0wVSy9k9FCuliQWp2tAeMMJShQsCP-gxZeUaL8J292tEAO5R57qXhJgqE11rhETnwfn2sig,master,RANKED_SOLO_5x5,237,208,-29
2026-07-12T02:16:33,y_3A8j8jusqeUdb06XIsZrQVUBpsGgqsTN61KdD-Ou9Z46tn9ZLXCqiCuZmi1pZ-riKtrITFdhLz6w,master,RANKED_SOLO_5x5,173,204,31
2026-07-12T02:16:33,iHwTC-zMYePSxlf52p1iFI_ws3uTxvK7G0nLr-aFdNd2gM5OcrcfAoQr416KEHmioj15zy0ZW7Ynmw,master,RANKED_SOLO_5x5,174,204,30
2026-07-12T02:16:33,QzFdTP5_1SP6QO0v0lDacEQtqPnIBowRO_gG2j--a_S9p2Vvgya3xS-3wCQpEDXmWJFaWXnHXbAXHA,master,RANKED_SOLO_5x5,170,198,28
2026-07-12T02:16:33,Ygjz3fTL7O6Oelr2lh7yOPLTRCoy5firZ0K73yx_Isk4thJ4FXaQ1tHX9PWREPoYXtYNHtfqNLP3Qw,master,RANKED_SOLO_5x5,165,196,31
2026-07-12T02:16:33,GcuSdm2FBRGCZ9FziuM_W_-RSPA81QVBOc79Hp7CqkDHoD-e9vKQNMsEMXK8QWO8nFtJ0Krt2c7q0g,master,RANKED_SOLO_5x5,225,193,-32
2026-07-12T02:16:33,DPW_cwcQG8mwWQNQCg4Yliiwrnc8az0VCTn0HgciajHrJ5ql1WLcE8kYMk3-z67uenpIUxpOf-Dr5Q,master,RANKED_SOLO_5x5,214,185,-29
2026-07-12T02:16:33,fZ0W3Dvohgj1qKNW4z3RNPGRicjnN7591TcMv-wdIE1L3lRSDTqj38xOUxuqMZGEzF3zSaIHPgCEkg,master,RANKED_SOLO_5x5,154,184,30
2026-07-12T02:16:33,wxY0v50QBqpMEjKB_PJe6dnLBq2b6E62wRb1kcFvdKN7XExtXkqdQN7Lkhnsmmfn72rF45eEueBO_A,master,RANKED_SOLO_5x5,153,183,30
2026-07-12T02:16:33,5yTDNd4gXE8JAVJrThjkh1XG7sfdq2YX93BLrJdTlRm4BpIFE_U5dQJQoWRyFhNMGfStBK41a9vCtQ,master,RANKED_SOLO_5x5,153,183,30
2026-07-12T02:16:33,YYtP_Z0ttyfxC_L9ya3HJxKpcqI6dVo9-IyhTZeISzmHxqhXulEg5RNYUnDBYo9LbQb1VwrNd_Hjig,master,RANKED_SOLO_5x5,204,173,-31
2026-07-12T02:16:33,w67yKyy-s5aiDx_djSnL8OGPp95LGvYChQKbE9mvdma_51XvORif4-g1R9ZsbVctKP1db_ak3p66hg,master,RANKED_SOLO_5x5,198,168,-30
2026-07-12T02:16:33,iOUk4apEnC2-yag1Msi24ityXYX4eZvBShxdJdRKRPZhcGbifzooFy_owZpCrl0DnGHKmjs-ZnGQag,master,RANKED_SOLO_5x5,194,164,-30
2026-07-12T02:16:33,fgQ8U9Te3mZ71_zTM5BOgiAkUWC-Gf9UBGmLcipzGqstDMA0282EF4jJBqG8dGX29QWezHiXTITz2g,master,RANKED_SOLO_5x5,194,163,-31
2026-07-12T02:16:33,dyF5uI3sMHwkc5N0VDwkQoGEv_OGiMsrJF7Z3UoBOO9r-HbThgKpRmLGlZCb7mzLpH-YlFjxOE7Rlg,master,RANKED_SOLO_5x5,190,159,-31
2026-07-12T02:16:33,svrAKT3hRPqe9Ilqnkx9QoHSlxdGzCUKSHeD74u8uh0MTSjzAIsCMhxubkQI3cRuYvfp3wLLOWid5w,master,RANKED_SOLO_5x5,185,156,-29
2026-07-12T02:16:33,1mqAiLvwPF87qX9wueUxHLptm1lyXfUfyBZ9P6gF8QAj0VocLJXSektaXcUNOlQXsAb8Hk9A7C-kjQ,master,RANKED_SOLO_5x5,178,149,-29
2026-07-12T02:16:33,vns_2W1xfATy7L70Ji9rl7jUsHmLNzQNyw5vJj888B9u6PbsfyGpJ3nhtlfSk4BVMkN0PTfA_S1K_A,master,RANKED_SOLO_5x5,175,146,-29
2026-07-12T02:16:33,k1Rwk6rxZuEywXYE7ZiWTiUkI4vlPnB-9YInx4fnPqfs166QpmATlQCN3d7IsRM-mytsDdscgt4STA,master,RANKED_SOLO_5x5,172,143,-29
2026-07-12T02:16:33,rKPxFNbwX98YjHqM7gIeBeVj9r-L5p8hTwHIx5uh6cuSqbECWGLdvPEZSbF0XAvpV6L0mKWgw9hNDQ,master,RANKED_SOLO_5x5,165,135,-30
2026-07-12T02:16:33,Tss53NJlwiGq_-PkQZY00iYPS7Xkt3R5ieVbiNmUCupT-z-42nI-Vmx2zNvtkb5QgGjIzphY1rpOIg,master,RANKED_SOLO_5x5,97,127,30
2026-07-12T02:16:33,sJGGJoCYWyMsJ6jlmqmTcOnDX_uSRmALJGlrNQmww763CW6Dp05qzbsk1NIRmrMxW0r4spuz24rHzw,master,RANKED_SOLO_5x5,51,115,64
2026-07-12T02:16:33,IGQy1H8rVcftkDiv8SmxHlZzBL2sR664rE3gm6b8QQMJ9u_F5XWGW2MZS3n_LOmy6UQy5CBoW0v0fQ,master,RANKED_SOLO_5x5,80,112,32
2026-07-12T02:16:33,nRYeyfncf380X_KjAD7QzMgbPlJp9JIrA0nSMnh6-Vl1Q0vgK_M25OGYDFGFqt1y0CIHxQwWDatgSQ,master,RANKED_SOLO_5x5,130,99,-31
2026-07-12T02:16:33,QinJISqT6h83wcr8Ul__dRIW2dx9cL3AuTS9M11IwzIt3CaBurjCw43f-gdforDCGn1SeSPHeJihlg,master,RANKED_SOLO_5x5,64,95,31
2026-07-12T02:16:33,NTsCa4zmE8J7MNLYGJ0lAoRHPU9MEJAz9zFPQvTax2MfVOm9q3cbyn-vpS2Lv-WtdlBjK4MaNEdUTQ,master,RANKED_SOLO_5x5,60,90,30
2026-07-12T02:16:33,GRqhic_ZIdkMVgAi00Flnkf93VgXPThVeuQvDOFtXdYHuWlDNh-9-vxnwvy5M2GCk-hPPFBpUU6oVw,master,RANKED_SOLO_5x5,60,90,30
2026-07-12T02:16:33,j8AhVTz-QTSWNrqRl_CaMbBCF-jRSOMBdl1Qr_JZFG-9h9KlFCVag6lFDh4czRR8doxD_91lPL-fmw,master,RANKED_SOLO_5x5,114,84,-30
2026-07-12T02:16:33,Jjqhp4rGMLpgpFaX4rk6P2Dc-Fm0uUD5ThFtfbaD_8OmO1N9oNvYgkJNvS_5DR3GKUzMsEkhvw1YbQ,master,RANKED_SOLO_5x5,108,76,-32
